Undergrade CGPA,IELTS or TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
3.81,109,322,2,1,0.95,1
3.81,109,322,2,1,0.95,1
3.68,101,314,2,0,0,1
3.93,104,313,0,0,1,2
3.12,91,308,2,0,2.5,4
3.08,107,319,0,0,0.3,1
3.08,107,319,0,0,0.3,3
3.08,107,319,0,0,0.3,3
3.08,107,319,0,0,0.3,1
3.74,93,0,2,2,2,1
3.71,101,302,5,2,2,1
3.71,101,302,5,2,2,1
3.71,101,302,5,2,2,2
3.53,106,317,2,3,0.3,2
3.94,114,328,0,0,0,3
3.94,114,328,0,0,0,1
3.94,114,328,0,0,0,1
3.94,114,328,0,0,0,3
3.65,109,300,2,0,2,3
3.2,93,303,0,0,1.5,2
3.2,93,303,0,0,1.5,4
3.2,93,303,0,0,1.5,2
3.2,93,303,0,0,1.5,4
3.55,112,324,1,0,0.6,1
3.55,112,324,1,0,0.6,3
3.55,112,324,1,0,0.6,3
3.55,112,324,1,0,0.6,4
3.63,92,314,1,0,3,3
3.63,92,314,1,0,3,2
3.63,92,314,1,0,3,4
3.32,103,0,0,0,0,1
3.54,93,307,0,3,0,2
3.58,94,311,10,0,0,3
3.58,94,311,10,0,0,2
3.23,96,313,0,0,0.5,2
3.23,96,313,0,0,0.5,1
3.23,96,313,0,0,0.5,3
3.23,96,313,0,0,0.5,4
3.95,101,312,0,1,0,4
3.58,117,325,0,0,0,1
3.82,96,315,0,0,0.6,3
3.82,96,315,0,0,0.6,2
3.29,90,315,2,3,1.5,4
3.29,90,315,2,3,1.5,4
3.29,90,315,2,3,1.5,1
3.59,103,317,4,0,2,3
3.59,103,317,4,0,2,3
3.59,103,317,4,0,2,4
3.85,90,315,1,0,5,2
3.85,90,315,1,0,5,2
3.85,90,315,1,0,5,2
3.85,90,315,1,0,5,2
3.85,90,315,1,0,5,2
3.82,97,317,5,3,0,1
3.82,97,317,5,3,0,1
3.82,97,317,5,3,0,1
3.42,99,317,2,0,5,2
3.42,99,317,2,0,5,3
3.42,99,317,2,0,5,3
