Undergrade CGPA,IELTS/TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
3.45,104,308,2,0,5,3
3.11,86,318,0,0,0,1
3.11,86,318,0,0,0,4
3.11,86,318,0,0,0,4
3.11,86,318,0,0,0,4
3.15,113,316,2,3,0,3
3.15,113,316,2,3,0,3
3.15,113,316,2,3,0,3
3.15,113,316,2,3,0,3
3.15,113,316,2,3,0,3
3.61,105,304,7,3,2,4
3.61,105,304,7,3,2,3
3.61,105,304,7,3,2,4
3.61,105,304,7,3,2,1
3.61,105,304,7,3,2,3
3.61,105,304,7,3,2,3
3.61,105,304,7,3,2,3
3.61,105,304,7,3,2,4
3.61,105,304,7,3,2,4
3.83,112,327,1,0,1.6,1
3.41,104,315,1,0,0.9,1
2.98,101,305,6,3,3.5,4
3.84,103,320,3,0,0.1,1
3.84,103,320,3,0,0.1,4
3.65,100,314,1,0,1,1
3.65,100,314,1,0,1,2
3.65,100,314,1,0,1,2
3.65,100,314,1,0,1,3
3.65,100,314,1,0,1,3
3.74,105,215,3,4,2,2
3.74,105,215,3,4,2,1
3.64,113,310,1,0,0.3,3
3.64,113,310,1,0,0.3,1
3.64,113,310,1,0,0.3,1
3.81,113,318,1,2,0,1
3.71,87,315,0,0,0.6,2
3.46,88,312,2,1,0,3
2.93,0,308,10,0,0,2
3.81,109,322,2,1,0.95,1
3.81,109,322,2,1,0.95,1
3.81,109,322,2,1,0.95,1
3.08,107,319,0,0,0.3,3
3.95,101,312,0,1,0,4
3.95,101,312,0,1,0,4
3.58,117,325,0,0,0,1
3.58,117,325,0,0,0,2
3.58,117,325,0,0,0,2
3.82,96,315,0,0,0.6,2
3.82,96,315,0,0,0.6,4
3.29,90,315,2,3,1.5,4
3.29,90,315,2,3,1.5,4
3.59,103,317,4,0,2,2
3.59,103,317,4,0,2,3
3.59,103,317,4,0,2,2
3.85,90,315,1,0,5,3
3.13,94,308,1,0,2,2
3.13,94,308,1,0,2,1
3.13,94,308,1,0,2,4
3.6,84,314,5,1,0,2
3.6,84,314,5,1,0,2
3.93,108,320,0,0,0.8,1
3.5,113,314,0,0,0.95,1
3.81,82,317,2,0,3,3
3.4,103,330,2,0,2,3
3.87,109,298,0,0,4,1
3.59,103,0,0,1,2,2
3.59,103,0,0,1,2,3
3.57,93,306,4,1,25,4
3.57,93,306,4,1,25,4
3.14,105,307,8,0,0.7,2
3.14,105,307,8,0,0.7,1
3.14,105,307,8,0,0.7,4
3.14,105,307,8,0,0.7,3
3.14,105,307,8,0,0.7,3
3.9,100,315,1,0,7,2
3.81,113,318,1,2,0,1
3.71,87,315,0,0,0.6,2
3.46,88,312,2,1,0,3
2.93,0,308,10,0,0,2
3.81,109,322,2,1,0.95,1
3.81,109,322,2,1,0.95,1
3.81,109,322,2,1,0.95,1
