Undergrade CGPA,IELTS or TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
3.45,101,308,2,0,5,3
3.11,104,318,0,0,0,1
3.11,91,318,0,0,0,4
3.11,107,318,0,0,0,4
3.11,107,318,0,0,0,4
3.15,107,316,2,3,0,3
3.15,107,316,2,3,0,3
3.15,93,316,2,3,0,3
3.15,101,316,2,3,0,3
3.15,101,316,2,3,0,3
3.61,101,304,7,3,2,4
3.61,106,304,7,3,2,3
3.61,114,304,7,3,2,4
3.61,114,304,7,3,2,1
3.61,114,304,7,3,2,3
3.61,114,304,7,3,2,3
3.61,109,304,7,3,2,3
3.61,93,304,7,3,2,4
3.61,93,304,7,3,2,4
3.83,93,327,1,0,1.6,1
3.41,93,315,1,0,0.9,1
2.98,112,305,6,3,3.5,4
3.84,112,320,3,0,0.1,1
3.84,112,320,3,0,0.1,4
3.65,112,314,1,0,1,1
3.65,92,314,1,0,1,2
3.65,92,314,1,0,1,2
3.65,92,314,1,0,1,3
3.65,103,314,1,0,1,3
3.74,93,215,3,4,2,2
3.74,94,215,3,4,2,1
3.64,94,310,1,0,0.3,3
3.64,96,310,1,0,0.3,1
3.64,96,310,1,0,0.3,1
3.81,96,318,1,2,0,1
3.71,96,315,0,0,0.6,2
3.46,101,312,2,1,0,3
2.93,117,308,10,0,0,2
3.81,96,322,2,1,0.95,1
3.81,96,322,2,1,0.95,1
3.81,90,322,2,1,0.95,1
3.08,90,319,0,0,0.3,3
3.95,90,312,0,1,0,4
3.95,103,312,0,1,0,4
3.58,103,325,0,0,0,1
3.58,103,325,0,0,0,2
3.58,90,325,0,0,0,2
3.82,90,315,0,0,0.6,2
3.82,90,315,0,0,0.6,4
3.29,90,315,2,3,1.5,4
3.29,90,315,2,3,1.5,4
3.59,97,317,4,0,2,2
3.59,97,317,4,0,2,3
3.59,97,317,4,0,2,2
3.85,99,315,1,0,5,3
3.13,99,308,1,0,2,2
3.13,99,308,1,0,2,1
3.13,99,308,1,0,2,4
3.6,99,314,5,1,0,2
3.6,94,314,5,1,0,2
3.93,109,320,0,0,0.8,1
3.5,93,314,0,0,0.95,1
3.81,93,317,2,0,3,3
3.4,94,330,2,0,2,3
3.87,94,298,0,0,4,1
3.59,82,0,0,1,2,2
3.59,99,0,0,1,2,3
3.57,107,306,4,1,25,4
3.57,107,306,4,1,25,4
3.14,107,307,8,0,0.7,2
3.14,107,307,8,0,0.7,1
3.14,107,307,8,0,0.7,4
3.14,107,307,8,0,0.7,3
3.14,107,307,8,0,0.7,3
3.9,84,315,1,0,7,2
3.81,84,318,1,2,0,1
3.71,93,315,0,0,0.6,2
3.46,114,312,2,1,0,3
2.93,114,308,10,0,0,2
3.81,114,322,2,1,0.95,1
3.81,115,322,2,1,0.95,1
3.81,108,322,2,1,0.95,1
3.08,109,319,0,0,0.3,3
3.95,109,312,0,1,0,4
3.95,109,312,0,1,0,4
3.58,109,325,0,0,0,1
3.58,114,325,0,0,0,2
3.58,114,325,0,0,0,2
3.82,114,315,0,0,0.6,2
3.82,108,315,0,0,0.6,4
3.29,108,315,2,3,1.5,4
3.29,108,315,2,3,1.5,4
3.59,108,317,4,0,2,2
3.59,81,317,4,0,2,3
3.59,81,317,4,0,2,2
3.85,82,315,1,0,5,3
3.13,103,308,1,0,2,2
3.13,103,308,1,0,2,1
3.13,103,308,1,0,2,4
3.6,109,314,5,1,0,2
3.6,109,314,5,1,0,2
3.93,109,320,0,0,0.8,1
3.5,109,314,0,0,0.95,1
3.81,100,317,2,0,3,3
3.4,100,330,2,0,2,3
3.87,100,298,0,0,4,1
3.59,100,0,0,1,2,2
3.59,100,0,0,1,2,3
3.57,100,306,4,1,25,4
,100,,,,,
,113,,,,,
,113,,,,,
,101,,,,,
,101,,,,,
,101,,,,,
,103,,,,,
,103,,,,,
,103,,,,,
,103,,,,,
,103,,,,,
,93,,,,,
,93,,,,,
,93,,,,,
,105,,,,,
,105,,,,,
,105,,,,,
,101,,,,,
,101,,,,,
