3.98,9,0,0
3.98,9,0,0
3.98,9,0,0
3.98,9,0,1
3.98,9,0,0
3.37,7,312,3
3.37,7,312,3
3.37,7,312,3
3.37,7,312,5
3.37,7,312,3
3.37,7,312,3
3.37,7,312,4
3.65,6.5,308,3
3.94,9,325,0
3.94,9,325,0
3.44,6.5,301,4
3.44,6.5,301,5
3.44,6.5,301,5
3.43,7,300,4
3.01,7,305,4
3.53,7,317,0
3.53,7,317,2
3.53,7,317,3
3.02,6.5,309,4
3.02,7.5,321,4
3.02,7.5,321,4
3.24,7.5,319,2
3.24,7.5,319,2
3.24,7.5,319,3
3.24,7.5,319,5
3.24,7.5,319,5
3.22,6.5,311,2
3.22,6.5,311,2
3.22,6.5,311,4
3.84,6.5,308,0
3.75,7.5,318,2
3.75,7.5,318,3
3.75,7.5,318,3
3.75,7.5,318,3
3.94,6.5,305,3
3.31,7,306,5
3.31,7,306,4
3.31,7,306,5
3.31,7,306,5
3.31,7,306,3
3.15,7.5,316,3
3.15,7.5,316,3
3.15,7.5,316,3
3.15,7.5,316,5
3.15,7.5,316,5
3.15,7.5,316,5
3.2,6.5,313,4
3.33,7,0,0
3.15,7.5,0,1
3.15,7.5,0,1
3.08,7,301,3
3.08,7,301,5
3.48,7,301,3
3.48,7,301,3
3.7,7,307,3
3.4,6.5,310,4
3.15,6.5,309,5
3.15,6.5,309,1
3.15,6.5,309,5
3.15,6.5,309,5
3.15,6.5,309,1
3.15,6.5,309,5
3.67,7.5,0,1
3.25,6.5,302,1
3.25,6.5,302,3
3.25,6.5,302,1
3.25,6.5,302,3
3.5,6.5,308,4
3.69,8,0,0
3.54,6.5,305,3
3.54,6.5,305,0
3.54,6.5,305,4
3.54,6.5,305,5
3.54,6.5,305,4
3.54,6.5,305,3
3.54,6.5,305,3
3.46,6.5,301,3
3.46,6.5,301,3
3.46,6.5,301,3
3.52,7,295,3
3.52,7,295,5
3.52,7,295,0
3.52,7,295,3
3.33,7.5,330,3
3.63,7.5,319,5
3.89,7.5,313,2
3.89,7.5,313,2
