UndergradeCGPA,IELTS,TOEFL,GRE/GMAT,ConferencePaper,JournalPaper,JobExperience,UniversityClass
3.98,9,0,0,1,0,1,1
3.98,9,0,0,1,0,1,1
3.98,9,0,0,1,0,1,1
3.98,9,0,0,1,0,1,2
3.98,9,0,0,1,0,1,1
3.37,7,0,312,1,1,0,4
3.37,7,0,312,1,1,0,4
3.37,7,0,312,1,1,0,4
3.37,7,0,312,1,1,0,6
3.37,7,0,312,1,1,0,4
3.37,7,0,312,1,1,0,4
3.37,7,0,312,1,1,0,5
3.65,6.5,0,308,1,0,3,4
3.94,,120,325,11,0,0.7,1
3.94,,120,325,11,0,0.7,1
3.44,,92,301,2,0,0,5
3.44,,92,301,2,0,0,6
3.44,,92,301,2,0,0,6
3.43,7,0,300,0,0,0.8,5
3.01,7,0,305,1,0,12,5
3.53,0,101,317,0,0,0,1
3.53,0,101,317,0,0,0,3
3.53,0,101,317,0,0,0,4
3.02,0,88,309,6,0,4,5
3.02,0,108,321,0,1,0.5,5
3.02,0,108,321,0,1,0.5,5
3.24,7.5,0,319,0,0,5.6,3
3.24,7.5,0,319,0,0,5.6,3
3.24,7.5,0,319,0,0,5.6,4
3.24,7.5,0,319,0,0,5.6,6
3.24,7.5,0,319,0,0,5.6,6
3.22,6.5,0,311,2,2,2.5,3
3.22,6.5,0,311,2,2,2.5,3
3.22,6.5,0,311,2,2,2.5,5
3.84,0,91,308,0,0,0,1
3.75,7.5,0,318,3,0,0,3
3.75,7.5,0,318,3,0,0,4
3.75,7.5,0,318,3,0,0,4
3.75,7.5,0,318,3,0,0,4
3.94,0,88,305,1,1,0,4
3.31,7,0,306,0,0,0,6
3.31,7,0,306,0,0,0,5
3.31,7,0,306,0,0,0,6
3.31,7,0,306,0,0,0,6
3.31,7,0,306,0,0,0,4
3.15,7.5,0,316,1,0,7,4
3.15,7.5,0,316,1,0,7,4
3.15,7.5,0,316,1,0,7,4
3.15,7.5,0,316,1,0,7,6
3.15,7.5,0,316,1,0,7,6
3.15,7.5,0,316,1,0,7,6
3.2,6.5,0,313,0,3,0.7,5
3.33,0,100,0,1,0,0.4,1
3.15,7.5,0,0,2,0,2,2
3.15,7.5,0,0,2,0,2,2
3.08,7,0,301,3,3,4.8,4
3.08,7,0,301,3,3,4.8,6
3.48,7,0,301,1,0,3.5,4
3.48,7,0,301,1,0,3.5,4
3.7,0,99,307,0,0,2,4
3.4,0,86,310,2,2,0,5
3.15,6.5,0,309,0,0,1.5,6
3.15,6.5,0,309,0,0,1.5,2
3.15,6.5,0,309,0,0,1.5,6
3.15,6.5,0,309,0,0,1.5,6
3.15,6.5,0,309,0,0,1.5,2
3.15,6.5,0,309,0,0,1.5,6
3.67,7.5,0,0,7,0,4,2
3.25,6.5,0,302,2,0,4,2
3.25,6.5,0,302,2,0,4,4
3.25,6.5,0,302,2,0,4,2
3.25,6.5,0,302,2,0,4,4
3.5,6.5,0,308,2,0,3.6,5
3.69,8,0,0,13,0,6.5,1
3.54,0,88,305,0,0,2,4
3.54,0,88,305,0,0,2,1
3.54,0,88,305,0,0,2,5
3.54,0,88,305,0,0,2,6
3.54,0,88,305,0,0,2,5
3.54,0,88,305,0,0,2,4
3.54,0,88,305,0,0,2,4
3.46,0,84,301,1,2,3,4
3.46,0,84,301,1,2,3,4
3.46,0,84,301,1,2,3,4
3.52,7,0,295,0,0,2.5,4
3.52,7,0,295,0,0,2.5,6
3.52,7,0,295,0,0,2.5,1
3.52,7,0,295,0,0,2.5,4
3.33,0,107,330,0,0,0.7,4
3.63,7.5,0,319,1,0,3,6
3.89,0,106,313,0,0,45,3
3.89,0,106,313,0,0,45,3
3.55,0,112,321,1,1,1.1,2
3.55,0,112,321,1,1,1.1,1
3.43,7,0,306,1,0,2,5
4,7,0,310,0,0,0,4
4,7,0,310,0,0,0,4
3.73,7,0,0,2,2,0.6,4
3.73,7,0,0,2,2,0.6,1
3.99,0,109,337,1,0,0.6,1
3.99,0,109,337,1,0,0.6,4
3.99,0,109,337,1,0,0.6,2
3.99,0,109,337,1,0,0.6,1
3.43,0,102,309,1,0,0,1
3.63,0,88,301,0,0,2,4
3.63,0,88,301,0,0,2,4
3.63,0,88,301,0,0,2,4
3.6,7,0,308,0,0,0,6
3.9,0,99,310,0,0,0,5
3.9,0,99,310,0,0,0,4
3.9,0,99,310,0,0,0,4
3.27,0,91,0,2,4,1.5,6
3.27,0,91,0,2,4,1.5,3
3.27,0,91,0,2,4,1.5,4
3.27,0,91,0,2,4,1.5,5
3.27,0,91,0,2,4,1.5,5
3.52,7.6,0,0,0,0,0,5
3.67,0,96,301,2,1,2,6
3.36,7,0,0,0,0,2,2
3.62,0,108,320,1,0,0,5
3.2,6.5,0,303,0,0,1.5,5
3.2,6.5,0,303,0,0,1.5,3
3.2,6.5,0,303,0,0,1.5,4
3.2,6.5,0,303,0,0,1.5,6
3.42,,0,0,1,0,0.6,1
3.3,7.5,0,305,0,0,0.7,3
3.15,8,0,316,1,0,2,1
3.15,8,0,316,1,0,2,4
3.15,8,0,316,1,0,2,5
3.15,8,0,316,1,0,2,2
3.15,8,0,316,1,0,2,2
3.5,7,0,0,1,0,1,4
3.5,7,0,0,1,0,1,1
3.5,7,0,0,1,0,1,1
3.5,7,0,0,1,0,1,1
3.5,7,0,0,1,0,1,2
3.5,7,0,0,1,0,1,2
3.5,7,0,0,1,0,1,4
3.57,0,92,296,0,0,0,5
3.57,0,92,296,0,0,0,6
3.57,0,92,296,0,0,0,4
3.57,0,92,296,0,0,0,2
3.57,0,92,296,0,0,0,6
3.49,7.5,0,307,1,0,0,4
3.49,7.5,0,307,1,0,0,6
3.49,7.5,0,307,1,0,0,3
3.49,7.5,0,307,1,0,0,2
3.49,7.5,0,307,1,0,0,3
3.65,0,96,314,1,1,1.8,6
3.65,0,96,314,1,1,1.8,6
3.65,0,96,314,1,1,1.8,5
3.65,7,0,317,0,0,1,4
3.65,7,0,317,0,0,1,1
3.65,7,0,317,0,0,1,6
3.31,0,100,313,0,0,0.3,6
3.31,0,100,313,0,0,0.3,4
3.29,0,90,315,2,3,1.5,6
3.29,0,90,315,2,3,1.5,6
3.29,0,90,315,2,3,1.5,5
3.52,0,98,306,1,1,0,2
3.52,0,98,306,1,1,0,5
3.52,0,98,306,1,1,0,4
3.52,0,98,306,1,1,0,5
3.6,7,0,324,0,0,3,2
3.39,0,0,314,1,0,3,5
3.39,0,0,314,1,0,3,3
3.39,0,0,314,1,0,3,6
3.39,0,97,305,0,0,0,4
3.39,0,97,305,0,0,0,2
3.39,0,97,305,0,0,0,6
3.42,0,96,310,0,0,4,4
3.42,0,96,310,0,0,4,6
3.42,0,96,310,0,0,4,4
3.42,0,96,310,0,0,4,4
3.29,0,108,319,1,0,4,2
3.29,0,108,319,1,0,4,2
3.29,0,108,319,1,0,4,2
3.29,0,108,319,1,0,4,3
3.29,0,108,319,1,0,4,3
3.06,0,99,331,0,0,0.3,4
3.06,0,99,331,0,0,0.3,6
3.06,0,99,331,0,0,0.3,4
3.06,0,99,331,0,0,0.3,2
3.06,0,99,331,0,0,0.3,4
3.06,0,99,331,0,0,0.3,4
3.62,7,0,313,6,0,2.5,4
3.85,6.5,0,310,0,1,1.5,1
3.45,0,104,308,2,0,5,6
3.45,0,104,308,2,0,5,3
3.45,0,104,308,2,0,5,1
3.45,0,104,308,2,0,5,4
3.11,0,86,318,0,0,0,1
3.11,0,86,318,0,0,0,4
3.11,0,86,318,0,0,0,6
3.11,0,86,318,0,0,0,6
3.15,8,0,316,2,3,0,4
3.15,8,0,316,2,3,0,4
3.15,8,0,316,2,3,0,4
3.15,8,0,316,2,3,0,4
3.15,8,0,316,2,3,0,4
3.61,0,105,304,7,3,2,5
3.61,0,105,304,7,3,2,4
3.61,0,105,304,7,3,2,6
3.61,0,105,304,7,3,2,2
3.61,0,105,304,7,3,2,4
3.61,0,105,304,7,3,2,4
3.61,0,105,304,7,3,2,4
3.61,0,105,304,7,3,2,5
3.61,0,105,304,7,3,2,6
3.83,,112,327,1,0,1.6,1
3.41,,104,315,1,0,0.9,1
2.98,7,0,305,6,3,3.5,5
3.84,0,103,320,3,0,0.1,2
3.84,0,103,320,3,0,0.1,5
3.65,0,100,314,1,0,1,2
3.65,0,100,314,1,0,1,3
3.65,0,100,314,1,0,1,2
3.65,0,100,314,1,0,1,5
3.65,0,100,314,1,0,1,4
3.74,0,105,215,3,4,2,2
3.74,0,105,215,3,4,2,2
3.64,8,0,310,1,0,0.3,4
3.64,8,0,310,1,0,0.3,1
3.64,8,0,310,1,0,0.3,1
3.81,8,0,318,1,2,0,2
3.71,,87,315,0,0,0.6,3
3.46,0,88,312,2,1,0,4
2.93,0,0,308,10,0,0,3
3.81,0,109,322,2,1,0.95,1
3.81,0,109,322,2,1,0.95,2
3.81,0,109,322,2,1,0.95,1
3.08,0,107,319,0,0,0.3,4
3.95,7,0,312,0,1,0,5
3.95,7,0,312,0,1,0,6
3.58,0,117,325,0,0,0,2
3.58,0,117,325,0,0,0,2
3.58,0,117,325,0,0,0,3
3.82,0,96,315,0,0,0.6,3
3.82,0,96,315,0,0,0.6,5
3.29,0,90,315,2,3,1.5,5
3.29,0,90,315,2,3,1.5,6
3.59,0,103,317,4,0,2,3
3.59,0,103,317,4,0,2,4
3.59,0,103,317,4,0,2,3
3.85,0,90,315,1,0,5,4
3.13,0,94,308,1,0,2,3
3.13,0,94,308,1,0,2,1
3.13,0,94,308,1,0,2,5
3.6,0,84,314,5,1,0,3
3.6,0,84,314,5,1,0,3
3.93,0,108,320,0,0,0.8,1
3.5,8,0,314,0,0,0.95,1
3.81,0,82,317,2,0,3,4
3.4,0,103,330,2,0,2,4
3.87,0,109,298,0,0,4,1
3.59,0,103,0,0,1,2,3
3.59,0,103,0,0,1,2,4
3.57,6.5,0,306,4,1,25,6
3.57,6.5,0,306,4,1,25,5
3.14,0,105,307,8,0,0.7,2
3.14,0,105,307,8,0,0.7,2
3.14,0,105,307,8,0,0.7,5
3.14,0,105,307,8,0,0.7,4
3.14,0,105,307,8,0,0.7,4
3.9,0,100,315,1,0,7,3
